"","x"
"CHS",-47.1445019157088
"CHT",-48.6426197183099
"CHU",-45.251976744186
"CHV",-46.5701401869159
"CHW",-46.7897892590075
"CJ1",-48.9599855177408
"CJ2",-52.4027975270479
"CJ4",-46.6576923076923
"CJ5",-47.4671929824561
"CJ6",-47.8259863945578
"CJ7",-48.2078873239437
"CJ8",-48.54971875
"CJ9",-44.7989556004036
"CJB",-48.4431016042781
"CJC",-47.5924705882353
"CJD",-51.9161239669422
"CJE",-45.4968510638298
"CJG",-49.6929179331307
"CJH",-49.2162466487936
"CJK",-44.2979776847978
"CJP",-47.006643258427
"CJR",-45.6472794117647
"CJS",-47.5465663716814
"CJU",-45.9442857142857
"CK3",-45.183270336894
"CK4",-44.551197421981
"CK5",-44.1024656569215
"CK6",-44.7420512820513
"CKA",-45.8236022871665
"CKG",-46.8502857142857
"CKH",-48.6127835051546
"CKJ",-46.4990909090909
"CKK",-46.9918701298701
"CKL",-46.83091796875
"CKM",-46.4174193548387
"CKN",-49.7605676855895
"CKP",-51.817515625
"CKS",-48.6355882352941
"CKT",-50.3556095736724
"CKU",-50.829531835206
"CKV",-50.9090726577438
"CKW",-49.0297423312883
"CKX",-48.5468389261745
"CKY",-48.3591233480176
"CL0",-46.0107919847328
"CL1",-48.2288555347092
"CL2",-43.2450831873905
"CL7",-45.4252408637874
"CLE",-53.1737037037037
"CLH",-48.8915711526079
"CLK",-44.6836274001038
"CLL",-45.1902594906295
"CLM",-55.2954132231405
"CLN",-51.5766225165563
"CLR",-49.9208823529412
"CLS",-53.7051632047478
"CLW",-50.531751497006
"CLX",-47.4863706070288
"CLY",-46.8518529587567
"CM0",-50.3609900990099
"CM5",-46.7671428571429
"CM6",-46.3362342342342
"CM9",-48.5211728395062
"CMB",-48.5857258064516
"CMC",-44.8315903614458
"CMD",-41.946369193154
"CME",-43.9382489146165
"CMF",-46.9074065934066
"CMG",-48.6070125348189
"CMK",-46.2526776649746
"CMM",-50.3639004149378
"CMR",-45.3502446183953
"CMS",-46.8576325616131
"CMT",-48.5840354767184
"CMU",-52.0725
"CN1",-43.5906583629893
"CN4",-48.4567623421355
"CN5",-51.6298738872404
"CN6",-50.5464248704663
"CR4",-45.6693392070485
"CR5",-45.7994136807818
"CR7",-44.3915355687872
"CR8",-44.7468321917808
"CR9",-44.6547368421053
"CRA",-44.2576818622696
"CRB",-44.2733180221562
"CRC",-44.1866666666667
"CRD",-53.1729504132231
"CRF",-50.867429022082
"CRP",-45.9638867924528
"CRR",-60.3491968325792
"CRS",-46.9936063641721
"CRT",-49.0329610951009
"CRU",-51.5390216368768
"CRV",-50.0628449502134
"CRW",-49.9975306122449
"CRX",-49.6913442389758
"CRY",-44.6554638671875
"CS0",-48.1817064846416
"CS1",-47.29091796875
"CS3",-49.1424361493124
"CS5",-58.6273333333333
"CS6",-50.1930903065452
"CS7",-48.1003032659409
"CTW",-52.7979521912351
"CTY",-54.2425723472669
"CU0",-46.7161517797179
"CU1",-45.4759183673469
"E9N",-46.3326724137931
"E9P",-46.2541111111111
"E9R",-46.332434625789
"E9S",-46.2301997146933
"E9T",-46.4059219858156
"E9U",-45.8757658643326
"E9V",-53.4299244332494
"E9W",-47.4802788844622
"E9Y",-46.393710359408
"EA3",-50.2121032056294
"EA4",-45.7041134020619
"EA6",-46.059549132948
"EA7",-51.6068009478673
"EA8",-49.0043838028169
"EA9",-42.9233073929961
"EAA",-43.7179990539262
"EAJ",-47.8273320895522
"EAM",-48.8508163265306
"EAP",-46.5718214285714
"EAR",-43.3861160714286
"EAS",-51.0260465116279
"EAT",-43.5391366906475
"EAU",-45.7813893967093
"EAX",-50.9994444444444
"EAY",-49.6737805684071
"EB2",-49.6519047619048
"EB3",-45.4849149659864
"EB6",-41.6816252485089
"EB7",-47.8318057210965
"EBL",-48.1047368421053
"EBM",-51.9675510204082
"EBN",-44.7605098855359
"EBP",-49.6836728147554
"EBR",-47.1932764140875
"EBS",-48.7469019286007
"EBT",-48.5588595839525
"EBU",-47.0334538878843
"EBV",-48.5661175115207
"EBW",-47.3432898415657
"EBX",-49.4836805922792
"EBY",-46.5189207048458
"EC0",-51.0630769230769
"EC1",-47.6638709677419
"EC2",-47.4391919191919
"EC3",-51.4242927864215
"EC4",-45.9548728813559
"EC5",-46.7119322709163
"EC8",-53.9059351620948
"EC9",-41.00916918429
"ECB",-49.2828329145729
"ECD",-48.5426909722222
"ECE",-45.532740497419
"ECF",-43.8028233102714
"ECG",-45.3082484725051
"ECH",-45.9388404605263
"ECL",-38.24125
"ECM",-44.3759184753838
"ECN",-45.759889298893
"ECR",-45.7697297297297
"ECS",-38.2419396806623
"ECT",-42.8817453548584
"ECU",-42.5792960288809
"ECX",-45.7303323076923
"ED0",-46.980464037123
"ED1",-45.1591914893617
"ED2",-44.7252263374486
"ED3",-44.747284144427
"ED4",-43.793925304878
"ED5",-47.2344862829478
"ED6",-47.1337973704563
"ED7",-44.4408633093525
"ED9",-44.8357030371204
"EDA",-44.7936111111111
"EDC",-47.7799597932223
"EDD",-46.6262247644684
"EDE",-54.6865063291139
"EDF",-50.2890204081633
"EDG",-46.0242571428571
"EDH",-49.3174845360825
"EDK",-47.1843507972665
"EDL",-54.9785058309038
"EDP",-48.6327547169811
"EDR",-49.4603861003861
"EDT",-45.8662127045236
"EDU",-45.1510130718954
"EE0",-45.9532931424265
"EE1",-47.8567
"EE2",-47.5568202764977
"EE5",-46.4786701434159
"EE6",-46.6137665782493
"EE7",-49.0715249266862
"EE8",-48.2506133333333
"EE9",-48.1800068540096
"EEA",-41.2233944954128
"EEB",-42.9967602591793
"EEC",-51.5259755268525
"EED",-43.6932673267327
"EEE",-48.1443203573708
"EEF",-46.6758175750834
"EEG",-45.7106882591093
"EEH",-50.1516858237548
"EEJ",-44.9491009463722
"EEK",-52.3188035126235
"EEL",-45.5616780821918
"EEN",-50.5287394957983
"EER",-45.572129086337
