"","features","rank_in_american","rank_in_british","difference"
"849","authorities",7893,9439,1546
"850","authority",8658,9578,920
"851","authorized",3567,178,3389
"852","authors",7541,6551,990
"853","auto",5440,NA,NA
"854","autobiography",5373,NA,NA
"855","automatic",2766,6004,3238
"856","automatically",5488,6191,703
"857","automobile",1877,NA,NA
"858","autonomy",3976,6407,2431
"859","availability",1645,5632,3987
"860","available",9143,9724,581
"861","avenger",7152,NA,NA
"862","avenue",4565,5134,569
"863","average",9131,9061,70
"864","aversion",692,NA,NA
"865","aviation",4557,3557,1000
"866","avis",133,NA,NA
"867","avoid",8857,8742,115
"868","avoided",4787,6128,1341
"869","avoiding",5230,4289,941
"870","avoids",737,NA,NA
"871","award",6334,9610,3276
"872","awarded",3278,7039,3761
"873","awards",7002,7018,16
"874","aware",7776,8843,1067
"875","awareness",3298,7157,3859
"876","away",9674,9736,62
"877","awe",650,NA,NA
"878","awesome",1491,NA,NA
"879","awful",6244,4471,1773
"880","awkward",5102,3046,2056
"881","b",8850,9504,654
"882","babe",1147,NA,NA
"883","babies",6758,5867,891
"884","baby",8867,8394,473
"885","back",9853,9879,26
"886","backdrop",797,NA,NA
"887","backed",6468,6566,98
"888","background",7841,8330,489
"889","backing",4410,6213,1803
"890","backlash",6362,NA,NA
"891","backs",3740,4224,484
"892","backward",3260,154,3106
"893","bacon",304,3318,3014
"894","bacteria",2747,945,1802
"895","bad",9702,9053,649
"896","badly",6456,7459,1003
"897","baffled",216,NA,NA
"898","bag",6762,6748,14
"899","baghdad",3952,1768,2184
"900","bags",5380,4962,418
"901","bail",2701,4487,1786
"902","bailout",1672,NA,NA
"903","baker",4987,6430,1443
"904","balance",8112,8996,884
"905","balanced",5578,5784,206
"906","balancing",1880,845,1035
"907","bald",575,NA,NA
"908","baldwin",2406,3792,1386
"909","balkan",853,NA,NA
"910","balkans",4129,NA,NA
"911","ball",7740,8728,988
"912","ballet",3750,5135,1385
"913","ballmer",2842,NA,NA
"914","balloon",3586,NA,NA
"915","ballot",6538,4366,2172
"916","balls",4154,4544,390
"917","baltimore",3606,NA,NA
"918","ban",8706,7379,1327
"919","banal",3858,NA,NA
"920","banana",131,NA,NA
"921","band",7252,8570,1318
"922","bandwidth",3306,NA,NA
"923","bang",2661,2645,16
"924","bank",9043,9571,528
"925","banker",1537,NA,NA
